Auteur ou autrice,Genre,Feuille,Jeu de données,Nom normalisé,data_id,dataset_id_FK,author_id_FK,year,details,src,id_bnf,id_wikidata,id_isni,gender,pseudonym,first_name,last_name,date_of_birth,date_of_death,birth_location,death_location,birth_coordinates,death_coordinates,url_ville
Homère,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Homère,1,3,6691,2008,Programme collège - sixième : L’Iliade / L’Odyssée,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11907688f,6691,0000 0003 6354 151X,masculin,,,,-0900-01-01T00:00:00Z,-0800-01-01T00:00:00Z,Smyrne,Ios,27.142778 38.423889,25.316666666 36.716666666,
Virgile,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Virgile,2,3,1398,2008,Programme collège - sixième : L’Enéide,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11887823w,1398,0000 0004 3069 5667,masculin,,,,-0069-10-13T00:00:00Z,-0018-09-19T00:00:00Z,Borgo Virgilio,Brindisi,10.75 45.05,17.945833333 40.638333333,http://www.borgovirgilio.gov.it/
Ovide,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Ovide,3,3,7198,2008,Programme collège - sixième : Les Métamorphoses,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119183166,7198,0000 0001 2142 7757,masculin,,,,-0042-03-18T00:00:00Z,0017-01-01T00:00:00Z,#N/A,Constanța,#N/A,28.638333333 44.173333333,#N/A
Charles Perrault,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Charles Perrault,4,3,128460,2008,Programme collège - sixième : Contes,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119192165,128460,0000 0001 2127 2484,masculin,,,,1628-01-12T00:00:00Z,1703-05-16T00:00:00Z,Paris,Paris,2.351388888 48.856944444,2.351388888 48.856944444,https://www.paris.fr/
Madame d'Aulnoy,F,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,"Marie-Catherine Le Jumel de Barneville, baronne d'Aulnoy",5,3,260006,2008,Programme collège - sixième : Contes,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,118895586,260006,0000 0001 2140 0087,féminin,,,,1651-01-01T00:00:00Z,1705-01-14T00:00:00Z,Barneville-la-Bertran,Paris,0.187777777 49.388611111,2.351388888 48.856944444,
Frères Grimm,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Les Frères Grimm,6,3,707880,2008,Programme collège - sixième : Contes,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,,707880,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A
Hans-Christian Andersen,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Hans Christian Andersen,7,3,5673,2008,Programme collège - sixième : Contes,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11888753s,5673,0000 0001 2118 4353,masculin,,,,1805-04-02T00:00:00Z,1875-08-04T00:00:00Z,Odense,Copenhague,10.383333333 55.4,12.568888888 55.676111111,https://www.odense.dk
Lewis Carroll,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Lewis Carroll,8,3,38082,2008,Programme collège - sixième : Alice au pays des merveilles,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,118859183,38082,0000 0001 0830 3354,masculin,,,,1832-01-27T00:00:00Z,1898-01-14T00:00:00Z,Daresbury,Guildford,-2.631998 53.340406,-0.5746 51.2354,
Antoine de St-Exupéry,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Antoine de Saint-Exupéry,9,3,2908,2008,Programme collège - sixième : Le Petit Prince,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11923342r,2908,0000 0001 2096 6599,masculin,,,,1900-06-29T00:00:00Z,1944-07-31T00:00:00Z,Lyon,île de Riou,4.841388888 45.758888888,5.38611 43.1761,http://www.lyon.fr/
Amadou Hampâté Bâ,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Amadou Hampâté Bâ,10,3,452299,2008,Programme collège - sixième : Petit Bodiel et autres contes de la savane / Il n’y a pas de petite querelle,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11889752p,452299,0000 0001 2103 2974,masculin,,,,1900-01-01T00:00:00Z,1991-05-15T00:00:00Z,Bandiagara,Abidjan,-3.611111111 14.35,-4.026666666 5.336388888,
Birago Diop,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Birago Diop,11,3,716541,2008,Programme collège - sixième : Contes d’Amadou Koumba / Nouveaux contes d’Amadou Koumba,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11900243p,716541,0000 0001 0868 4142,masculin,,,,1906-12-11T00:00:00Z,1989-11-25T00:00:00Z,Dakar,Dakar,-17.457222222 14.731944444,-17.457222222 14.731944444,http://villededakar.org
Léopold Sédar Senghor,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Léopold Sédar Senghor,12,3,154545,2008,Programme collège - sixième : La Belle Histoire de Leuk-le-lièvre,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119244261,154545,0000 0001 2284 1060,masculin,,,,1906-10-09T00:00:00Z,2001-12-20T00:00:00Z,Joal-Fadiouth,Verson,-16.843055555 14.164166666,-0.4525 49.155,http://commune-joalfadiouth.sn/
Jean de La Fontaine,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Jean de La Fontaine,13,3,49496,2008,Programme collège - sixième : Fables,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11910267w,49496,0000 0001 2095 8636,masculin,,,,1621-07-08T00:00:00Z,1695-04-13T00:00:00Z,Château-Thierry,Paris,3.403055555 49.046388888,2.351388888 48.856944444,http://www.ville-chateau-thierry.fr
Molière,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Molière,14,3,687,2008,Programme collège - sixième : Le Médecin volant / L’Amour médecin / Le Médecin malgré lui / Le Sicilien / L’amour peintre,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11916418p,687,0000 0001 2319 7131,masculin,,,,1622-01-15T00:00:00Z,1673-02-17T00:00:00Z,Paris,Paris,2.351388888 48.856944444,2.351388888 48.856944444,https://www.paris.fr/
Jean Tardieu,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Jean Tardieu,15,3,561201,2008,Programme collège - sixième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119925984,561201,0000 0001 2275 7205,masculin,,,,1903-11-01T00:00:00Z,1995-01-27T00:00:00Z,Saint-Germain-de-Joux,Créteil,5.738333333 46.177777777,2.453055555 48.777777777,http://www.saintgermaindejoux.fr
Roland Dubillard,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Roland Dubillard,16,3,3440040,2008,Programme collège - sixième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,12352223p,3440040,0000 0001 0918 9469,masculin,,,,1923-01-01T00:00:00Z,2010-01-01T00:00:00Z,Paris,Vert-le-Grand,2.351388888 48.856944444,2.357777777 48.572222222,https://www.paris.fr/
René de Obaldia,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,René de Obaldia,17,3,1221840,2008,Programme collège - sixième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11917997f,1221840,0000 0001 1019 672X,masculin,,,,1918-10-22T00:00:00Z,,Hong Kong britannique,#N/A,114.15 22.2667,#N/A,
Chrétien de Troyes,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Chrétien de Troyes,18,3,4302,2008,Programme collège - cinquième : Lancelot ou le Chevalier à la charrette / Yvain ou le Chevalier au lion / Perceval / le Conte du Graal,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11896805x,4302,0000 0001 1773 5861,masculin,,,,1135-01-01T00:00:00Z,1181-01-01T00:00:00Z,Troyes,Flandre,4.078055555 48.298888888,4.5 51.0,http://www.ville-troyes.fr
Marco Polo,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Marco Polo,19,3,6101,2008,Programme collège - cinquième : Le Livre des merveilles,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11920191p,6101,0000 0003 5589 5756,masculin,,,,1254-09-22T00:00:00Z,1324-01-16T00:00:00Z,Venise,Venise,12.331944444 45.439722222,12.331944444 45.439722222,http://www.comune.venezia.it/
Daniel Defoe,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Daniel Defoe,20,3,40946,2008,Programme collège - cinquième : Robinson Crusoé,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,118990779,40946,0000 0001 2347 8267,masculin,,,,1660-04-03T00:00:00Z,1731-04-24T00:00:00Z,Londres,Moorfields,-0.1275 51.507222222,-0.088611 51.518188,https://www.london.gov.uk/
Robert Louis Stevenson,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Robert Louis Stevenson,21,3,1512,2008,Programme collège - cinquième : L’Ile au trésor,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11925554s,1512,0000 0001 2283 1567,masculin,,,,1850-11-13T00:00:00Z,1894-12-03T00:00:00Z,Édimbourg,Vailima,-3.198888888 55.95,-171.759333333 -13.859833333,https://edinburgh.org/
Jules Verne,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Jules Verne,22,3,33977,2008,Programme collège - cinquième,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11928016k,33977,0000 0001 2140 0562,masculin,,,,1828-02-08T00:00:00Z,1905-03-24T00:00:00Z,Nantes,Amiens,-1.553888888 47.217222222,2.297777777 49.891944444,http://www.nantes.fr
Jack London,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Jack London,23,3,45765,2008,Programme collège - cinquième : Croc-Blanc / L’Appel de la forêt,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,11913283v,45765,0000 0001 2130 9371,masculin,,,,1876-01-12T00:00:00Z,1916-11-22T00:00:00Z,San Francisco,Glen Ellen,-122.416388888 37.7775,-122.531111111 38.364444444,https://sfgov.org/
Joseph Kessel,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Joseph Kessel,24,3,356537,2008,Programme collège - cinquième : Le Lion,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,13091504f,356537,0000 0001 2281 8821,masculin,,,,1898-02-10T00:00:00Z,1979-07-23T00:00:00Z,Entre Ríos,Avernes,-60.281 -32.0477,1.873333333 49.085555555,https://www.entrerios.gov.ar
Michel Tournier,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,Michel Tournier,25,3,160783,2008,Programme collège - cinquième : Vendredi ou la vie sauvage,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119269397,160783,0000 0001 2102 9572,masculin,,,,1924-12-18T00:00:00Z,2016-01-18T00:00:00Z,Sporting Club de Tinqueux,Choisel,,2.017777777 48.686388888,http://sc-tinqueux.footeo.com/
J.M.G. Le Clézio,M,autrices-auteurs-programmes-secondaire-superieur,Programmes du collège,J. M. G. Le Clézio,26,3,42037,2008,Programme collège - cinquième : Mondo et autres histoires,http://media.education.gouv.fr/file/special_6/21/8/programme_francais_general_33218.pdf,119115538,42037,0000 0001 2145 7913,masculin,,,,1940-04-13T00:00:00Z,,Nice,#N/A,7.268333333 43.701944444,#N/A,http://www.nice.fr/
