name,id,description,begin,end,comment,highlighted,sélection du 2018-05-01,stats_type_id_FK,
Annales brevet des collèges,1,"Ce jeu de données recense les auteurs et autrices des extraits de textes proposés dans les épreuves de français du diplôme national du brevet, de 2000 à 2017, en fournissant un lien vers les sujets qui les contiennent.",2000,2017,,,1,7,,
Annales baccalauréat,2,"Ce jeu de données recense les auteurs et autrices des extraits de textes proposés dans les écrits des épreuves anticipées de français du baccalauréat, entre 2012 et 2017.",2012,2017,,,1,7,,
Programmes du collège,3,"Ce jeu de données recense les auteurs et autrices qui apparaissent dans les programmes de français du collège, en 2008.",2008,2016,,,1,8,,
Programme du bac,4,"Ce jeu de données recense les auteurs et autrices qui sont apparues dans le programme du baccalauréat (bac L jusqu'à 2018, en première pour le bac général ensuite), de 2002 à 2022.",2002,2022,Aucune autrice au programme du bac L de 2002 à 2017,1,1,8,,
Programme des prépas scientifiques,5,"Ce jeu de données recense les auteurs et autrices qui sont apparues dans le programme des classes préparatoires scientifiques, de 1991 à 2018.",1991,2018,,,1,8,,
Programme des ENS A/L,6,"Ce jeu de données recense les auteurs et autrices qui sont apparues dans le programme du concours A/L des Ecoles Normales Supérieures, de 2008 à 2022.",2008,2022,,,1,8,,
Programme de l'agrégation,7,"Ce jeu de données recense les auteurs et autrices qui sont apparues dans l'épreuve de littérature française du programme de l'agrégation de lettres modernes, de 2009 à 2022",2009,2022,"8 années sans femme au programme de l'agrégation de lettres, de 1997 à 2016 ",,1,8,,
Corpus de 54 listes de bac,8,,2016,2017,1 liste de bac sur 3 sans texte d'autrice,,,9,,
Anthologies littéraires scolaires,9,"Ce jeu de données recense les auteurs et autrices qui apparaissent dans plusieurs anthologies littéraires scolaires : les titres de section des manuels de littérature Lagarde & Michard (Bordas 1948-1962), les textes des manuels La littérature française par les textes (Ediciones Perrier 1960) et Le français par les textes (Classiques Hachette 1962), les index des manuels de littérature Textes et documents (Nathan 1986-2004) et Itinéraires littéraires (Hatier 1990-1995) et du CD-ROM Lagarde & Michard (Bordas 2003)",1948,2004,,,1,10,,
Manuels de français de première,13,"Ce jeu de données recense les auteurs et autrices qui apparaissent dans les index de manuels de français de première : Des textes à l'œuvre (Hachette 2001), Textes analyse littéraire et expression (Nathan 2001), Français Première toutes séries (Bréal 2001), Textes, genres et registres (Delagrave, 2001), Des textes aux séquences (Hatier, 2001), Français 1re, toutes séries (Bertrand Lacoste, 2001), L'écume des lettres (Hachette, 2011), Français 1re (Belin, 2011), La vie en toutes lettres (Hatier, 2016), Kartable (Ellipses, 2018), Empreintes littéraires (Magnard, 2019), Au fil des textes (Hachette, 2019),  Passeurs de textes (WebLettres, Le Robert, 2019), L'Écume des lettres (Hachette, 2019), Horizons pluriels (Nathan, 2019). Collecte : Laura Borie, Jeanne Chiron, Fil, Philippe Gambette",2001,2019,,,1,10,,
