numéro,id lieu,,id lieu,COUNTA de id lieu,,,,élément dans Wikidata,Nom d'élément selon Wikidata,P625,label(P625),P17,label(P17),P18,label(P18),P281,label(P281),P856,label(P856),P268,label(P268),P1566,label(P1566)
1,http://www.wikidata.org/entity/Q2412935,,http://www.wikidata.org/entity/Q90,581,1,,,http://www.wikidata.org/entity/Q90,Paris,Point(2.351388888 48.856944444),Point(2.351388888 48.856944444),http://www.wikidata.org/entity/Q142,France,,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%20-%20Eiffelturm%20und%20Marsfeld2.jpg,75010,75010,https://www.paris.fr/,https://www.paris.fr/,11865278m,11865278m,2968815,2968815
2,http://www.wikidata.org/entity/Q3038318,,http://www.wikidata.org/entity/Q84,27,1,,,http://www.wikidata.org/entity/Q84,Londres,Point(-0.1275 51.507222222),Point(-0.1275 51.507222222),http://www.wikidata.org/entity/Q145,Royaume-Uni,,http://commons.wikimedia.org/wiki/Special:FilePath/London%20Montage%20L.jpg,BR,BR,https://www.london.gov.uk/,https://www.london.gov.uk/,119861367,119861367,2643743,2643743
3,http://www.wikidata.org/entity/Q220,,http://www.wikidata.org/entity/Q48958,24,1,,,http://www.wikidata.org/entity/Q48958,Neuilly-sur-Seine,Point(2.2675 48.887222222),Point(2.2675 48.887222222),http://www.wikidata.org/entity/Q142,France,,http://commons.wikimedia.org/wiki/Special:FilePath/Mairie%20de%20Neuilly-sur-Seine.JPG,92200,92200,http://www.neuillysurseine.fr,http://www.neuillysurseine.fr,15280269c,15280269c,2990611,2990611
4,http://www.wikidata.org/entity/Q944814,,http://www.wikidata.org/entity/Q220,24,1,,,http://www.wikidata.org/entity/Q220,Rome,Point(12.482777777 41.893055555),Point(12.482777777 41.893055555),http://www.wikidata.org/entity/Q38,Italie,,http://commons.wikimedia.org/wiki/Special:FilePath/Roma%20dall%27aereo.JPG,00118–00199,00118–00199,https://www.comune.roma.it/,https://www.comune.roma.it/,12139445g,12139445g,3169070,3169070
5,http://www.wikidata.org/entity/Q244716,,http://www.wikidata.org/entity/Q23482,23,1,,,http://www.wikidata.org/entity/Q23482,Marseille,Point(5.376388888 43.296666666),Point(5.376388888 43.296666666),http://www.wikidata.org/entity/Q142,France,,http://commons.wikimedia.org/wiki/Special:FilePath/Marseille%20vue%20d%20avion.jpg,13000,13000,http://www.marseille.fr,http://www.marseille.fr,11864855c,11864855c,2995469,2995469
6,,,http://www.wikidata.org/entity/Q71,18,1,,,http://www.wikidata.org/entity/Q71,Genève,Point(6.15 46.2),Point(6.15 46.2),http://www.wikidata.org/entity/Q39,Suisse,,http://commons.wikimedia.org/wiki/Special:FilePath/Geneva%20from%20Mount%20Sal%C3%A8ve.jpg,1201,1201,https://www.geneve.ch,https://www.geneve.ch,11864210r,11864210r,7285902,7285902
7,http://www.wikidata.org/entity/Q159469,,http://www.wikidata.org/entity/Q1479,18,1,,,http://www.wikidata.org/entity/Q1479,Bordeaux,Point(-0.579444444 44.837777777),Point(-0.579444444 44.837777777),http://www.wikidata.org/entity/Q142,France,,http://commons.wikimedia.org/wiki/Special:FilePath/138%20-%20Place%20de%20la%20Bourse%20et%20le%20miroir%20d%27eau%20-%20Bordeaux.jpg,33100,33100,http://www.bordeaux.fr,http://www.bordeaux.fr,11862494p,11862494p,3031582,3031582
8,,,http://www.wikidata.org/entity/Q60,17,1,,,http://www.wikidata.org/entity/Q60,New York,Point(-73.94 40.67),Point(-73.94 40.67),http://www.wikidata.org/entity/Q30,États-Unis,,http://commons.wikimedia.org/wiki/Special:FilePath/EmpireStateNewYokCity.jpg,10000–10499,10000–10499,https://nyc.gov,https://nyc.gov,11938130m,11938130m,5128581,5128581
9,http://www.wikidata.org/entity/Q200251,,http://www.wikidata.org/entity/Q456,17,1,,,http://www.wikidata.org/entity/Q456,Lyon,Point(4.841388888 45.758888888),Point(4.841388888 45.758888888),http://www.wikidata.org/entity/Q142,France,,http://commons.wikimedia.org/wiki/Special:FilePath/01.%20Panorama%20de%20Lyon%20pris%20depuis%20le%20toit%20de%20la%20Basilique%20de%20Fourvi%C3%A8re.jpg,69001,69001,http://www.lyon.fr/,http://www.lyon.fr/,15272211b,15272211b,2996944,2996944
10,,,http://www.wikidata.org/entity/Q187153,16,1,,,http://www.wikidata.org/entity/Q187153,14e arrondissement de Paris,Point(2.326888888 48.833022222),Point(2.326888888 48.833022222),http://www.wikidata.org/entity/Q142,France,,http://commons.wikimedia.org/wiki/Special:FilePath/Observatoire%20de%20Paris.jpg,75014,75014,http://www.mairie14.paris.fr/,http://www.mairie14.paris.fr/,11941781p,11941781p,2989781,2989781
11,http://www.wikidata.org/entity/Q81997,,http://www.wikidata.org/entity/Q649,13,1,,,http://www.wikidata.org/entity/Q649,Moscou,Point(37.617777777 55.755833333),Point(37.617777777 55.755833333),http://www.wikidata.org/entity/Q159,Russie,,http://commons.wikimedia.org/wiki/Special:FilePath/Moscow-City%20%2836211143494%29.jpg,101001–135999,101001–135999,https://www.mos.ru/,https://www.mos.ru/,11933531v,11933531v,524901,524901
12,http://www.wikidata.org/entity/Q90,,http://www.wikidata.org/entity/Q194420,12,1,,,http://www.wikidata.org/entity/Q194420,16e arrondissement de Paris,Point(2.276488888 48.863611111),Point(2.276488888 48.863611111),http://www.wikidata.org/entity/Q142,France,,http://commons.wikimedia.org/wiki/Special:FilePath/Palais%20de%20Tokyo.jpg,75016,75016,http://www.mairie16.paris.fr/,http://www.mairie16.paris.fr/,11957255d,11957255d,2988394,2988394
13,http://www.wikidata.org/entity/Q2044,,http://www.wikidata.org/entity/Q30974,11,1,,,http://www.wikidata.org/entity/Q30974,Rouen,Point(1.1025 49.443055555),Point(1.1025 49.443055555),http://www.wikidata.org/entity/Q142,France,,http://commons.wikimedia.org/wiki/Special:FilePath/Rouen%20montage.jpg,76000,76000,http://www.rouen.fr,http://www.rouen.fr,15275126t,15275126t,2982652,2982652
14,http://www.wikidata.org/entity/Q13364,,http://www.wikidata.org/entity/Q288,11,1,,,http://www.wikidata.org/entity/Q288,Tours,Point(0.688333333 47.392777777),Point(0.688333333 47.392777777),http://www.wikidata.org/entity/Q142,France,,http://commons.wikimedia.org/wiki/Special:FilePath/Loire%20Indre%20Tours1%20tango7174.jpg,37000,37000,http://www.tours.fr/,http://www.tours.fr/,152578097,152578097,2972191,2972191
15,,,http://www.wikidata.org/entity/Q259463,11,1,,,http://www.wikidata.org/entity/Q259463,7e arrondissement de Paris,Point(2.312777777 48.859166666),Point(2.312777777 48.859166666),http://www.wikidata.org/entity/Q142,France,,http://commons.wikimedia.org/wiki/Special:FilePath/Paris%207.jpg,75007,75007,https://mairie07.paris.fr/,https://mairie07.paris.fr/,11975580c,11975580c,2988760,2988760
16,,,http://www.wikidata.org/entity/Q172455,11,1,,,http://www.wikidata.org/entity/Q172455,Boulogne-Billancourt,Point(2.241388888 48.835277777),Point(2.241388888 48.835277777),http://www.wikidata.org/entity/Q142,France,,http://commons.wikimedia.org/wiki/Special:FilePath/Notre-dame%20de%20boulogne.JPG,92100,92100,http://www.boulognebillancourt.com,http://www.boulognebillancourt.com,15280249r,15280249r,6451962,6451962
